"the_geom","STATION_ID","LONGNAME","LINES","ADDRESS","ADA","PKNRD","POINT_X","POINT_Y","LEGEND"
"POINT (-87.70165573251133 41.966146895889715)","870","Francisco","Brown Line","4648 N. Francisco Avenue","true","false","1,156,039.37233196","1,930,887.06155112","Brown Line"
"POINT (-87.67832941601363 42.02761184862187)","840","South Boulevard","Purple Line, Evanston Express","601 W. South Boulevard","false","false","1,162,211.83313771","1,953,332.90246802","Multiple Lines"
"POINT (-87.65866841969589 41.97798399254405)","340","Berwyn","Red Line","1121 W. Berwyn Avenue","false","false","1,167,696.17515882","1,935,289.67941122","Red Line"
"POINT (-87.66360955994172 41.94381225617526)","360","Southport","Brown Line","3411 N. Southport Avenue","true","false","1,166,449.96254966","1,922,826.81834361","Brown Line"
"POINT (-87.61850159987594 41.80209158434365)","130","51st","Green Line","314 E. 51st Street","true","false","1,179,151.84211349","1,871,283.07634361","Green Line"
"POINT (-87.69072951855928 42.0731527622841)","1050","Linden","Purple Line, Evanston Express","349 W. Linden Avenue","true","true","1,158,718.09105446","1,969,902.89851546","Multiple Lines"
"POINT (-87.71909930215281 41.9473601024952)","1240","Addison-O'Hare","Blue Line","3622 W. Addison Street","true","false","1,151,344.51459959","1,924,006.59972071","Blue Line"
"POINT (-87.77413525552275 41.887292784706375)","1260","Austin-Lake","Green Line (Lake)","351 N. Austin Blvd","false","false","1,136,515.35413778","1,902,015.55586023","Green Line"
"POINT (-87.61882612858349 41.80920883501687)","1080","47th-South Elevated","Green Line","314 E. 47th Street","true","false","1,179,041.79692939","1,873,875.82873002","Green Line"
"POINT (-87.90184840013661 41.97887673887917)","890","O'Hare Airport","Blue Line","1000 O'Hare Drive","true","false","1,101,572.00306524","1,935,188.07531513","Blue Line"
"POINT (-87.62588147448886 41.831678021663535)","1120","35-Bronzeville-IIT","Green Line","16 E. 35th Street","true","false","1,177,050.91513553","1,882,047.58707363","Green Line"
"POINT (-87.67495574333226 41.95452313953493)","1460","Irving Park-Ravenswood","Brown Line","1816 W. Irving Park Dr","true","false","1,163,333.20913876","1,926,705.98506723","Brown Line"
"POINT (-87.67516539063618 41.96175171130978)","1500","Montrose-Ravenswood","Brown Line","1814 W. Montrose Avenue","true","false","1,163,255.95192269","1,929,339.66570968","Brown Line"
"POINT (-87.76089227927595 41.97063413812226)","1280","Jefferson Park","Blue Line","4917 N. Milwaukee Avenue","true","false","1,139,918.57154895","1,932,409.02840054","Blue Line"
"POINT (-87.65313085718888 41.93273150100663)","530","Diversey","Brown, Purple (Express)","940 W. Diversey Avenue","true","false","1,169,332.77215234","1,918,811.40944387","Multiple Lines"
"POINT (-87.62937770045221 41.88070346119076)","790","Monroe/Dearborn","Blue Line","114 S. Dearborn","false","false","1,175,951.62118251","1,899,904.51841827","Blue Line"
"POINT (-87.76564950550599 41.887389014441396)","280","Central-Lake","Green Line (Lake)","350 N. Central Avenue","true","false","1,138,825.73519593","1,902,065.79330028","Green Line"
"POINT (-87.63096782627767 41.853205796014315)","1000","Cermak-Chinatown","Red Line","138 W. Cermak Road","true","false","1,175,600.57759818","1,889,880.86554493","Red Line"
"POINT (-87.7085413860205 41.92972804225143)","1020","Logan Square","Blue Line","2620 N. Milwaukee Av","true","false","1,154,263.50109831","1,917,602.19677075","Blue Line"
"POINT (-87.68850260590037 41.96625004821776)","1480","Western-Ravenswood","Brown Line","4645 N. Western Avenue","true","false","1,159,616.1951193","1,930,951.29758318","Brown Line"
"POINT (-87.6294400596467 41.88316442656523)","370","Washington/Dearborn","Blue Line","19 N. Dearborn","false","false","1,175,927.28403049","1,900,801.1532991","Blue Line"
"POINT (-87.6768857202498 41.884966194456915)","1710","Damen-Lake","Green Line (Lake)","154 N. Damen Ave","true","false","1,163,002.26187444","1,901,355.31502756","Green Line"
"POINT (-87.65326645004653 41.936032602681166)","1210","Wellington","Brown, Purple (Express)","945 W. Wellington Avenue","true","false","1,169,286.3350323","1,920,014.04624499","Multiple Lines"
